scenario,aktivitas,undertone,hijab,total_candidate,relevant_top3,relevance_at_3,status
1,coffee_shop_hopping,warm,ya,107,3,100.0,SUCCESS
2,coffee_shop_hopping,warm,tidak,127,3,100.0,SUCCESS
3,coffee_shop_hopping,cool,ya,264,3,100.0,SUCCESS
4,coffee_shop_hopping,cool,tidak,499,3,100.0,SUCCESS
5,coffee_shop_hopping,neutral,ya,200,3,100.0,SUCCESS
6,coffee_shop_hopping,neutral,tidak,239,3,100.0,SUCCESS
7,dinner,warm,ya,114,3,100.0,SUCCESS
8,dinner,warm,tidak,85,3,100.0,SUCCESS
9,dinner,cool,ya,262,3,100.0,SUCCESS
10,dinner,cool,tidak,344,3,100.0,SUCCESS
11,dinner,neutral,ya,183,3,100.0,SUCCESS
12,dinner,neutral,tidak,217,3,100.0,SUCCESS
13,gym_to_caffe,warm,ya,41,3,100.0,SUCCESS
14,gym_to_caffe,warm,tidak,202,3,100.0,SUCCESS
15,gym_to_caffe,cool,ya,141,3,100.0,SUCCESS
16,gym_to_caffe,cool,tidak,622,3,100.0,SUCCESS
17,gym_to_caffe,neutral,ya,113,3,100.0,SUCCESS
18,gym_to_caffe,neutral,tidak,375,3,100.0,SUCCESS
19,hiking,warm,ya,29,3,100.0,SUCCESS
20,hiking,warm,tidak,117,3,100.0,SUCCESS
21,hiking,cool,ya,143,3,100.0,SUCCESS
22,hiking,cool,tidak,382,3,100.0,SUCCESS
23,hiking,neutral,ya,106,3,100.0,SUCCESS
24,hiking,neutral,tidak,202,3,100.0,SUCCESS
25,smart_casual,warm,ya,83,3,100.0,SUCCESS
26,smart_casual,warm,tidak,102,3,100.0,SUCCESS
27,smart_casual,cool,ya,240,3,100.0,SUCCESS
28,smart_casual,cool,tidak,437,3,100.0,SUCCESS
29,smart_casual,neutral,ya,205,3,100.0,SUCCESS
30,smart_casual,neutral,tidak,205,3,100.0,SUCCESS
